TIME,01/10/18,02/10/18,03/10/18,04/10/18,05/10/18,06/10/18,07/10/18,08/10/18,09/10/18,10/10/18,11/10/18,12/10/18,13/10/18,14/10/18,15/10/18,16/10/18,17/10/18,18/10/18,19/10/18,20/10/18,21/10/18,22/10/18,23/10/18,24/10/18,25/10/18,26/10/18,27/10/18,28/10/18,29/10/18,30/10/18,31/10/18,,Modal Day,,,Minutes,Hour
16:00,soc rel,travel,phd work,soc rec,travel,phd work,board games,shopping,phd admin,phd admin,travel,phd work,phd work,relaxing,tv,relaxing,travel,soc rec,phd admin,qt,food,d&d,phd work,phd work,phd work,phd work,video games,housework,phd work,phd admin,travel,,phd work,,,,
16:20,soc rel,shopping,phd work,soc rec,travel,phd work,food,travel,phd admin,phd admin,travel,phd work,phd work,travel,travel,misc recreation,travel,soc rec,projects,projects,tv,d&d,phd work,phd admin,phd work,phd admin,video games,housework,phd work,phd admin,travel,,phd work,,,,
16:40,soc rel,travel,phd work,soc rec,travel,relaxing,board games,phd work,phd admin,phd admin,travel,phd work,phd work,phd work,phd work,misc recreation,travel,soc rec,phd admin,projects,tv,d&d,phd work,phd admin,phd work,phd admin,video games,qt,phd work,phd admin,travel,,phd work,,,,
17:00,soc rel,life admin,phd work,phd work,travel,qt,tv,phd work,phd admin,phd admin,travel,travel,phd work,phd work,phd work,misc recreation,travel,soc rec,phd admin,projects,tv,d&d,phd work,phd admin,phd work,soc rel,soc rec,life admin,phd work,phd admin,travel,,phd work,,,,
17:20,soc rel,food,phd work,phd work,travel,qt,tv,food,phd admin,phd admin,travel,relaxing,phd work,phd work,phd work,misc recreation,travel,food,travel,projects,qt,d&d,travel,phd admin,soc rel,food,soc rec,video games,travel,phd admin,travel,,phd work,,,,
17:40,shopping,soc rec,phd work,travel,travel,soc rel,board games,d&d,phd admin,shopping,travel,relaxing,phd work,misc recreation,travel,misc recreation,travel,soc rec,food,d&d,tv,d&d,travel,phd work,food,board games,board games,video games,food,travel,travel,,travel,,,,
18:00,travel,d&d,phd work,food,travel,travel,soc rel,d&d,phd admin,travel,travel,food,travel,misc recreation,food,misc recreation,travel,soc rec,food,d&d,soc rel,d&d,travel,travel,phd admin,board games,board games,video games,food,food,travel,,travel,,,,
18:20,qt,d&d,travel,food,travel,qt,qt,d&d,food,exercise,travel,food,food,food,food,tv,travel,soc rec,qt,d&d,travel,food,travel,shopping,soc rel,board games,video games,qt,housework,projects,travel,,food,,,,
18:40,qt,d&d,food,soc rel,travel,qt,qt,d&d,soc rel,exercise,travel,food,food,food,misc recreation,tv,travel,soc rec,qt,d&d,travel,d&d,travel,exercise,phd work,board games,video games,exercise,housework,food,travel,,travel,,,,
19:00,food,d&d,food,food,travel,qt,qt,d&d,soc rec,exercise,travel,travel,relaxing,travel,misc recreation,food,travel,travel,qt,d&d,travel,d&d,food,exercise,phd work,board games,soc rec,exercise,life admin,housework,travel,,travel,,,,
19:20,food,d&d,food,food,travel,travel,qt,d&d,soc rec,hygiene,travel,misc recreation,travel,misc recreation,misc recreation,food,travel,soc rel,qt,d&d,travel,d&d,travel,exercise,phd work,board games,food,exercise,life admin,life admin,travel,,travel,,,,
19:40,food,d&d,housework,housework,qt,food,travel,d&d,soc rec,food,travel,misc recreation,phd work,misc recreation,travel,food,travel,travel,qt,d&d,travel,d&d,misc recreation,hygiene,qt,board games,food,hygiene,life admin,travel,travel,,travel,,,,
20:00,tv,d&d,soc rel,relaxing,qt,hygiene,travel,d&d,soc rec,food,life admin,misc recreation,misc recreation,misc recreation,phd work,food,travel,travel,qt,d&d,travel,d&d,misc recreation,food,phd work,shopping,travel,food,tv,travel,travel,,travel,,,,
20:20,tv,d&d,phd work,tv,food,tv,travel,d&d,soc rec,life admin,relaxing,phd work,phd work,phd work,phd work,tv,travel,travel,qt,food,travel,d&d,misc recreation,food,travel,travel,soc rec,food,projects,travel,travel,,travel,,,,
20:40,relaxing,d&d,phd work,tv,food,food,travel,d&d,soc rec,qt,food,phd work,phd work,phd work,phd work,hygiene,travel,travel,qt,d&d,travel,d&d,misc recreation,housework,life admin,life admin,video games,video games,projects,travel,qt,,phd work,,,,
21:00,qt,d&d,housework,phd work,tv,food,travel,d&d,soc rel,qt,food,phd work,phd work,phd work,phd work,relaxing,travel,travel,qt,d&d,soc rel,d&d,misc recreation,family time,video games,projects,video games,video games,projects,phd work,qt,,phd work,,,,
21:20,qt,d&d,phd work,phd work,qt,tv,soc rel,d&d,travel,life admin,food,phd work,phd work,phd work,phd work,relaxing,travel,travel,qt,d&d,soc rel,d&d,misc recreation,family time,video games,projects,video games,video games,video games,phd work,food,,phd work,,,,
21:40,qt,travel,projects,housework,qt,soc rel,hygiene,d&d,housework,video games,soc rel,phd work,phd work,phd work,phd work,tv,qt,travel,qt,d&d,life admin,travel,travel,video games,video games,qt,video games,video games,video games,phd work,food,,qt,,,,
22:00,qt,soc rel,projects,phd work,qt,qt,food,travel,life admin,video games,soc rel,phd work,phd work,phd work,phd work,tv,qt,travel,qt,d&d,life admin,housework,travel,video games,video games,qt,board games,video games,video games,travel,qt,,qt,,,,
22:20,qt,soc rel,relaxing,tv,soc rel,qt,projects,housework,life admin,video games,travel,misc recreation,phd work,phd work,phd work,sleep,soc rel,travel,travel,d&d,phd work,housework,soc rec,video games,video games,tv,board games,video games,video games,travel,qt,,phd work,,,,
22:40,qt,food,relaxing,phd work,tv,qt,relaxing,soc rel,tv,video games,relaxing,misc recreation,food,phd work,phd work,sleep,soc rel,qt,travel,d&d,housework,projects,soc rec,video games,video games,tv,board games,housework,video games,soc rel,qt,,qt,,,,
23:00,qt,soc rel,reading,phd work,tv,qt,sleep,food,life admin,life admin,relaxing,misc recreation,phd work,phd work,phd work,sleep,life admin,qt,soc rel,d&d,housework,life admin,travel,projects,soc rel,qt,board games,housework,phd admin,tv,qt,,qt,,,,
23:20,qt,soc rel,reading,tv,tv,tv,sleep,relaxing,relaxing,housework,relaxing,misc recreation,phd work,phd work,phd work,sleep,life admin,qt,soc rel,d&d,tv,relaxing,travel,relaxing,reading,qt,board games,relaxing,life admin,tv,qt,,relaxing,,,,
23:40,qt,projects,reading,phd work,tv,tv,sleep,projects,life admin,projects,tv,tv,phd work,phd work,phd work,sleep,life admin,sleep,soc rel,d&d,projects,relaxing,soc rel,relaxing,reading,qt,board games,reading,relaxing,qt,qt,,projects,,,,
